"10/18/21, 00:00:00" 62126.80000000 62402.23000000 61985.49000000 62344.89000000 95.41318000 "10/18/21, 00:59:59" 5927507.58325860 2333 64.88825000 4030850.24739740 0
"10/18/21, 01:00:00" 62342.86000000 62503.01000000 62217.44000000 62329.72000000 126.99804000 "10/18/21, 01:59:59" 7916548.73187260 2726 70.47743000 4393507.69756240 0
"10/18/21, 02:00:00" 62346.98000000 62449.50000000 62114.03000000 62237.57000000 149.28195000 "10/18/21, 02:59:59" 9306380.49419490 2973 111.05346000 6924392.50992150 0
"10/18/21, 03:00:00" 62236.72000000 62673.83000000 61740.90000000 61877.46000000 205.00851000 "10/18/21, 03:59:59" 12781222.11393590 4199 131.85968000 8223946.42650520 0
"10/18/21, 04:00:00" 61877.23000000 62446.49000000 61477.99000000 61779.49000000 139.25422000 "10/18/21, 04:59:59" 8626010.87356600 3161 66.71022000 4130142.00483390 0
"10/18/21, 05:00:00" 61776.95000000 62134.88000000 60559.96000000 61221.52000000 189.10121000 "10/18/21, 05:59:59" 11638394.10701210 4463 105.74692000 6512432.89927610 0
"10/18/21, 06:00:00" 61198.82000000 61499.19000000 60628.53000000 61307.52000000 146.91055000 "10/18/21, 06:59:59" 8963490.06670740 3538 62.59545000 3819668.20294420 0
"10/18/21, 07:00:00" 61287.35000000 61536.08000000 60684.73000000 60902.92000000 87.92692000 "10/18/21, 07:59:59" 5372059.88217650 2503 43.82247000 2677468.99285730 0
"10/18/21, 08:00:00" 60877.37000000 61130.95000000 60272.00000000 60606.33000000 135.46705000 "10/18/21, 08:59:59" 8233002.98971050 3373 70.09202000 4258615.84744800 0
"10/18/21, 09:00:00" 60581.84000000 61920.09000000 59872.80000000 61810.26000000 212.11062000 "10/18/21, 09:59:59" 12918732.14210680 6024 98.23182000 5985996.61756560 0
"10/18/21, 10:00:00" 61838.17000000 62189.43000000 61600.00000000 62056.46000000 103.43346000 "10/18/21, 10:59:59" 6407300.08556630 3077 51.16436000 3168231.95840600 0
"10/18/21, 11:00:00" 62106.30000000 62163.34000000 61458.12000000 61990.40000000 103.67747000 "10/18/21, 11:59:59" 6420473.49679940 3385 56.24188000 3487220.33101470 0
"10/18/21, 12:00:00" 61996.33000000 62370.37000000 61466.22000000 61811.67000000 141.27786000 "10/18/21, 12:59:59" 8765021.48401980 3437 88.50090000 5494888.92014020 0
"10/18/21, 13:00:00" 61797.36000000 62082.30000000 61721.93000000 61733.12000000 42.16083000 "10/18/21, 13:59:59" 2611018.42293650 1592 20.29322000 1256496.96883440 0
"10/18/21, 14:00:00" 61740.57000000 62030.05000000 61695.97000000 61840.34000000 37.14979000 "10/18/21, 14:59:59" 2297938.69342760 1449 19.27652000 1192393.60467540 0
