"09/01/21, 00:00:00" 47061.51000000 47266.32000000 46995.87000000 47154.34000000 32.44766000 "09/01/21, 00:59:59" 1529568.31318440 1098 14.54335000 685397.15996700 0
"09/01/21, 01:00:00" 47155.79000000 47487.15000000 47109.63000000 47437.63000000 59.74420000 "09/01/21, 01:59:59" 2828469.70106640 1349 26.25654000 1242849.14953090 0
"09/01/21, 02:00:00" 47451.94000000 47484.27000000 47196.35000000 47328.56000000 62.47132000 "09/01/21, 02:59:59" 2959023.11453290 1257 25.45848000 1205528.66479120 0
"09/01/21, 03:00:00" 47339.84000000 47447.07000000 47103.77000000 47187.65000000 43.60513000 "09/01/21, 03:59:59" 2062095.66500510 1219 20.15744000 952961.87093310 0
"09/01/21, 04:00:00" 47185.84000000 47421.65000000 47135.06000000 47358.04000000 65.62546000 "09/01/21, 04:59:59" 3101692.30130970 1530 32.45376000 1533280.64054410 0
"09/01/21, 05:00:00" 47364.47000000 47707.77000000 47328.95000000 47664.26000000 79.94365000 "09/01/21, 05:59:59" 3800286.85174660 2151 34.33838000 1632334.72861400 0
"09/01/21, 06:00:00" 47670.20000000 47765.29000000 47522.52000000 47534.57000000 65.00654000 "09/01/21, 06:59:59" 3099834.32757540 1913 21.00769000 1001450.67763180 0
"09/01/21, 07:00:00" 47529.71000000 47812.82000000 47529.71000000 47731.62000000 83.58476000 "09/01/21, 07:59:59" 3985557.56459230 2355 26.84273000 1279729.79104820 0
"09/01/21, 08:00:00" 47732.88000000 47849.94000000 47593.02000000 47737.79000000 75.41108000 "09/01/21, 08:59:59" 3602833.87666230 2198 32.84510000 1569291.86354200 0
"09/01/21, 09:00:00" 47738.21000000 47807.50000000 47353.54000000 47484.83000000 84.46427000 "09/01/21, 09:59:59" 4016910.53106360 1929 39.86521000 1895865.50483810 0
"09/01/21, 10:00:00" 47500.86000000 47676.62000000 47294.92000000 47303.86000000 42.44347000 "09/01/21, 10:59:59" 2013761.99378090 1346 19.00498000 901981.18408120 0
"09/01/21, 11:00:00" 47296.75000000 47539.02000000 47296.75000000 47500.96000000 41.23185000 "09/01/21, 11:59:59" 1954673.26906040 1670 23.48571000 1113321.06597920 0
"09/01/21, 12:00:00" 47512.55000000 48595.49000000 47415.73000000 48471.89000000 180.57406000 "09/01/21, 12:59:59" 8697212.00188570 4708 80.21744000 3863678.83141570 0
"09/01/21, 13:00:00" 48492.68000000 49121.50000000 48343.38000000 48751.02000000 193.94105000 "09/01/21, 13:59:59" 9448413.61066560 4743 82.93705000 4042391.34756990 0
"09/01/21, 14:00:00" 48751.58000000 48936.34000000 48669.33000000 48680.36000000 119.08100000 "09/01/21, 14:59:59" 5807969.08390820 2700 81.80598000 3989719.46383220 0
"09/01/21, 15:00:00" 48682.55000000 48709.18000000 48048.36000000 48169.92000000 153.56028000 "09/01/21, 15:59:59" 7419282.85582000 3644 83.81247000 4049763.91905490 0
"09/01/21, 16:00:00" 48173.05000000 48354.66000000 48124.31000000 48278.78000000 60.95736000 "09/01/21, 16:59:59" 2942581.50778570 1956 32.88042000 1587161.81653260 0
"09/01/21, 17:00:00" 48275.71000000 48534.43000000 48260.97000000 48445.94000000 49.63951000 "09/01/21, 17:59:59" 2402904.51862350 1806 27.82827000 1347037.14259560 0
"09/01/21, 18:00:00" 48439.33000000 48767.37000000 48288.86000000 48442.17000000 50.31008000 "09/01/21, 18:59:59" 2442485.49565200 1651 25.07948000 1217841.71464310 0
"09/01/21, 19:00:00" 48432.15000000 48904.01000000 48418.00000000 48843.62000000 68.95277000 "09/01/21, 19:59:59" 3353109.80121940 2097 39.23848000 1908030.79075440 0
"09/01/21, 20:00:00" 48838.81000000 48994.00000000 48543.82000000 48809.13000000 90.64932000 "09/01/21, 20:59:59" 4425468.17719420 2814 38.73285000 1890249.58187050 0
"09/01/21, 21:00:00" 48809.13000000 49831.43000000 48681.29000000 49700.50000000 152.56657600 "09/01/21, 21:59:59" 7535661.14947571 5091 68.10676600 3361541.18359311 0
"09/01/21, 22:00:00" 49733.90000000 49892.46000000 49590.32000000 49602.11000000 95.83785300 "09/01/21, 22:59:59" 4766361.13217268 3467 42.08161300 2092981.36236458 0
"09/01/21, 23:00:00" 49602.87000000 49710.60000000 49575.99000000 49584.95000000 79.93034000 "09/01/21, 23:59:59" 3967896.09226070 2096 38.33619000 1903072.31674930 0
"09/02/21, 00:00:00" 49586.43000000 49644.05000000 49335.93000000 49404.16000000 66.12436000 "09/02/21, 00:59:59" 3271537.56662610 1944 36.30000000 1795885.76479000 0
