"12/18/20, 00:00:00" 641.46000000 646.83000000 641.46000000 645.72000000 254.16493000 "12/18/20, 00:59:59" 163829.34952510 173 120.31111000 77515.61405170 0
"12/18/20, 01:00:00" 645.99000000 649.19000000 644.46000000 645.06000000 234.27975000 "12/18/20, 01:59:59" 151393.61710180 232 143.25761000 92539.31434950 0
"12/18/20, 02:00:00" 644.80000000 645.09000000 641.47000000 644.51000000 465.75917000 "12/18/20, 02:59:59" 300101.66928710 248 350.67933000 225978.31522170 0
"12/18/20, 03:00:00" 645.78000000 653.97000000 642.43000000 651.42000000 604.69440000 "12/18/20, 03:59:59" 393319.43786940 366 379.84996000 247457.24233670 0
"12/18/20, 04:00:00" 651.28000000 662.06000000 648.22000000 661.87000000 336.46882000 "12/18/20, 04:59:59" 220340.80778610 300 207.39887000 135906.78161510 0
"12/18/20, 05:00:00" 662.45000000 664.49000000 652.06000000 653.24000000 628.35073000 "12/18/20, 05:59:59" 414197.02280320 425 333.00443000 219626.82666240 0
"12/18/20, 06:00:00" 652.80000000 652.80000000 644.51000000 649.69000000 823.41362000 "12/18/20, 06:59:59" 533272.56155040 439 452.29162000 292699.81202950 0
"12/18/20, 07:00:00" 650.80000000 653.99000000 644.82000000 650.53000000 531.59191000 "12/18/20, 07:59:59" 346395.96673410 323 155.76487000 101223.14130800 0
"12/18/20, 08:00:00" 650.38000000 650.67000000 637.11000000 638.16000000 531.06314000 "12/18/20, 08:59:59" 342877.74062080 344 224.27930000 144668.48725230 0
"12/18/20, 09:00:00" 638.44000000 641.60000000 631.69000000 639.41000000 754.46939000 "12/18/20, 09:59:59" 480852.24900580 509 287.65441000 183295.51962870 0
"12/18/20, 10:00:00" 639.30000000 639.73000000 633.15000000 637.98000000 710.67261000 "12/18/20, 10:59:59" 452505.66713550 378 303.63689000 193282.17049450 0
"12/18/20, 11:00:00" 637.28000000 644.34000000 634.60000000 642.06000000 767.16561000 "12/18/20, 11:59:59" 491264.73003320 415 366.49171000 234945.56846900 0
"12/18/20, 12:00:00" 642.94000000 648.27000000 641.20000000 646.61000000 250.21261000 "12/18/20, 12:59:59" 161388.17664160 223 159.30289000 102766.15837900 0
"12/18/20, 13:00:00" 647.28000000 647.62000000 643.84000000 645.95000000 285.04181000 "12/18/20, 13:59:59" 184276.04390600 210 161.65805000 104546.75702490 0
"12/18/20, 14:00:00" 646.33000000 646.34000000 641.05000000 644.95000000 171.90646000 "12/18/20, 14:59:59" 110619.12361790 200 82.46008000 53022.32729350 0
"12/18/20, 15:00:00" 644.85000000 649.14000000 643.74000000 648.80000000 332.60003000 "12/18/20, 15:59:59" 214969.89449510 283 210.15305000 135850.26259760 0
"12/18/20, 16:00:00" 648.96000000 654.22000000 648.96000000 651.25000000 406.09058000 "12/18/20, 16:59:59" 264697.65280460 318 154.10822000 100413.78560480 0
"12/18/20, 17:00:00" 650.91000000 654.07000000 646.23000000 651.79000000 538.74691000 "12/18/20, 17:59:59" 350729.82670630 358 179.74073000 117232.41898410 0
"12/18/20, 18:00:00" 651.17000000 655.56000000 648.73000000 654.50000000 303.67676000 "12/18/20, 18:59:59" 197844.87460590 278 198.77996000 129585.25384840 0
"12/18/20, 19:00:00" 655.07000000 656.04000000 648.00000000 649.55000000 319.38691000 "12/18/20, 19:59:59" 208190.22418710 283 149.38639000 97354.19076820 0
"12/18/20, 20:00:00" 649.28000000 651.02000000 646.14000000 649.52000000 223.80689000 "12/18/20, 20:59:59" 145208.95291750 214 86.00014000 55753.54256850 0
"12/18/20, 21:00:00" 649.20000000 658.75000000 648.83000000 658.12000000 450.89717000 "12/18/20, 21:59:59" 294752.53512190 346 156.03534000 102090.31617040 0
"12/18/20, 22:00:00" 658.14000000 660.21000000 655.11000000 656.16000000 462.35416000 "12/18/20, 22:59:59" 303999.47179290 327 302.69280000 198974.56359420 0
"12/18/20, 23:00:00" 655.21000000 657.98000000 652.69000000 655.12000000 1434.51590000 "12/18/20, 23:59:59" 939542.59232060 536 889.92458000 583028.80223800 0
"12/19/20, 00:00:00" 655.55000000 656.04000000 651.97000000 652.78000000 462.79589000 "12/19/20, 00:59:59" 302696.72721600 270 137.38799000 89832.09072830 0
"12/19/20, 01:00:00" 652.87000000 654.02000000 647.76000000 648.95000000 285.88855000 "12/19/20, 01:59:59" 186129.65592590 268 140.38361000 91353.17579140 0
"12/19/20, 02:00:00" 648.95000000 652.68000000 648.50000000 648.74000000 358.55966000 "12/19/20, 02:59:59" 233476.65520180 256 213.92450000 139300.21605220 0
"12/19/20, 03:00:00" 650.72000000 653.93000000 646.79000000 653.93000000 448.84317000 "12/19/20, 03:59:59" 292141.40820030 315 236.05950000 153739.57191610 0
"12/19/20, 04:00:00" 653.96000000 654.95000000 651.91000000 652.95000000 198.71357000 "12/19/20, 04:59:59" 129774.76039500 209 72.27677000 47212.81196910 0
"12/19/20, 05:00:00" 653.68000000 657.38000000 652.89000000 654.07000000 147.57324000 "12/19/20, 05:59:59" 96734.43242250 197 71.36323000 46792.26650500 0
"12/19/20, 06:00:00" 654.19000000 656.06000000 649.47000000 651.45000000 303.46819000 "12/19/20, 06:59:59" 198179.17709360 284 148.84235000 97157.46456420 0
"12/19/20, 07:00:00" 651.44000000 660.02000000 651.42000000 656.20000000 499.99033000 "12/19/20, 07:59:59" 328007.05810690 397 158.56785000 104088.38425110 0
"12/19/20, 08:00:00" 655.32000000 657.44000000 652.17000000 656.73000000 253.88084000 "12/19/20, 08:59:59" 166178.86500080 238 92.72106000 60731.15951380 0
"12/19/20, 09:00:00" 657.24000000 661.05000000 650.26000000 655.42000000 678.21426000 "12/19/20, 09:59:59" 444875.40695200 471 276.65841000 181734.68096110 0
"12/19/20, 10:00:00" 656.07000000 660.70000000 653.72000000 656.12000000 696.26909000 "12/19/20, 10:59:59" 457739.11677800 534 195.31462000 128492.39012780 0
"12/19/20, 11:00:00" 656.64000000 665.00000000 654.97000000 662.30000000 1276.68454000 "12/19/20, 11:59:59" 844110.14198680 1022 572.52437000 378740.23108780 0
"12/19/20, 12:00:00" 662.76000000 670.69000000 660.64000000 664.88000000 1049.55330000 "12/19/20, 12:59:59" 697702.91055680 601 564.21970000 374965.96052800 0
"12/19/20, 13:00:00" 663.92000000 664.67000000 656.86000000 659.79000000 364.72966000 "12/19/20, 13:59:59" 240471.15059400 335 156.22080000 103023.57253210 0
"12/19/20, 14:00:00" 660.39000000 661.17000000 657.41000000 659.34000000 331.44832000 "12/19/20, 14:59:59" 218556.16113930 302 70.01201000 46183.41480450 0
"12/19/20, 15:00:00" 659.28000000 668.22000000 659.28000000 667.45000000 525.12110000 "12/19/20, 15:59:59" 348868.40767120 366 199.22922000 132297.92542170 0
"12/19/20, 16:00:00" 667.31000000 669.35000000 664.81000000 666.88000000 323.43882000 "12/19/20, 16:59:59" 215744.67503380 273 108.30189000 72250.01380080 0
"12/19/20, 17:00:00" 666.75000000 666.99000000 661.39000000 663.91000000 221.89579000 "12/19/20, 17:59:59" 147525.92084830 232 55.10570000 36587.65079940 0
"12/19/20, 18:00:00" 663.91000000 663.91000000 656.01000000 658.72000000 285.29953000 "12/19/20, 18:59:59" 188344.93448790 226 73.15651000 48300.51262820 0
"12/19/20, 19:00:00" 658.41000000 658.41000000 642.69000000 648.94000000 1570.93357000 "12/19/20, 19:59:59" 1018334.69792290 758 1015.67055000 657536.63301480 0
"12/19/20, 20:00:00" 648.42000000 650.82000000 646.63000000 647.92000000 532.89365000 "12/19/20, 20:59:59" 345937.33882020 293 170.24344000 110459.68611550 0
"12/19/20, 21:00:00" 648.09000000 649.40000000 645.74000000 647.60000000 774.36506000 "12/19/20, 21:59:59" 501527.93509630 333 421.66566000 273248.61781400 0
"12/19/20, 22:00:00" 647.37000000 648.78000000 643.50000000 646.74000000 200.78361000 "12/19/20, 22:59:59" 129834.82553780 188 54.68926000 35407.78236770 0
"12/19/20, 23:00:00" 646.35000000 648.96000000 641.06000000 648.28000000 235.66957000 "12/19/20, 23:59:59" 151893.04425630 210 108.02448000 69525.06726890 0
"12/20/20, 00:00:00" 648.07000000 651.25000000 647.42000000 648.37000000 215.10519000 "12/20/20, 00:59:59" 139686.91970200 194 128.91880000 83761.79806600 0
"12/20/20, 01:00:00" 648.46000000 652.41000000 647.67000000 650.00000000 195.72121000 "12/20/20, 01:59:59" 127027.99379060 166 25.64905000 16673.64081730 0
"12/20/20, 02:00:00" 650.00000000 657.50000000 649.62000000 656.23000000 386.58822000 "12/20/20, 02:59:59" 252082.58886910 240 169.70578000 110665.59269740 0
"12/20/20, 03:00:00" 657.71000000 658.61000000 653.57000000 657.22000000 489.98726000 "12/20/20, 03:59:59" 321457.05684780 370 340.55654000 223391.75336670 0
"12/20/20, 04:00:00" 657.11000000 661.69000000 654.74000000 657.57000000 560.95128000 "12/20/20, 04:59:59" 368444.44006540 435 334.39437000 219514.50050400 0
"12/20/20, 05:00:00" 657.11000000 657.55000000 649.96000000 649.96000000 361.07544000 "12/20/20, 05:59:59" 236227.52296940 298 132.16759000 86468.22689600 0
"12/20/20, 06:00:00" 650.50000000 654.58000000 650.50000000 652.97000000 333.70668000 "12/20/20, 06:59:59" 217688.02242450 234 240.41101000 156856.14078010 0
"12/20/20, 07:00:00" 652.67000000 652.81000000 643.98000000 648.08000000 295.26089000 "12/20/20, 07:59:59" 191319.82821210 301 121.73188000 78931.31338080 0
