"05/11/21, 00:00:00" 3857.85000000 3921.59000000 3836.55000000 3912.55000000 731.11229000 "05/11/21, 00:59:59" 2839357.27678520 1548 407.93948000 1583623.88837510 0
"05/11/21, 01:00:00" 3916.57000000 3941.26000000 3847.37000000 3875.43000000 635.61232000 "05/11/21, 01:59:59" 2476325.89406160 1068 260.09930000 1013777.79129980 0
"05/11/21, 02:00:00" 3873.78000000 3965.22000000 3873.78000000 3949.18000000 639.32172000 "05/11/21, 02:59:59" 2514431.90283590 1173 339.15338000 1334933.91634530 0
"05/11/21, 03:00:00" 3946.11000000 3970.51000000 3924.07000000 3967.22000000 453.03400000 "05/11/21, 03:59:59" 1787912.32706740 725 233.56460000 921448.73824490 0
"05/11/21, 04:00:00" 3967.64000000 3975.03000000 3908.04000000 3921.95000000 408.99018000 "05/11/21, 04:59:59" 1609632.77753270 809 217.24650000 855155.50256510 0
"05/11/21, 05:00:00" 3924.33000000 4024.12000000 3924.29000000 4014.70000000 584.65429000 "05/11/21, 05:59:59" 2324083.01381480 1302 334.27427000 1330885.04890610 0
"05/11/21, 06:00:00" 4017.38000000 4086.91000000 4006.90000000 4043.00000000 1070.88218000 "05/11/21, 06:59:59" 4333456.64584980 1955 475.42804000 1923883.40705030 0
"05/11/21, 07:00:00" 4048.12000000 4076.83000000 3966.42000000 3976.83000000 997.59259000 "05/11/21, 07:59:59" 4020069.18924540 1585 511.38100000 2062201.11624480 0
"05/11/21, 08:00:00" 3977.33000000 3983.52000000 3909.18000000 3969.18000000 749.80621000 "05/11/21, 08:59:59" 2959431.77220890 1282 430.94553000 1701678.16521820 0
"05/11/21, 09:00:00" 3972.79000000 3995.14000000 3900.77000000 3981.08000000 824.70571000 "05/11/21, 09:59:59" 3249071.61227390 1485 389.58463000 1535454.50206560 0
"05/11/21, 10:00:00" 3981.49000000 4009.67000000 3947.03000000 3982.63000000 720.77962000 "05/11/21, 10:59:59" 2864389.79376910 1049 445.64623000 1770319.88525730 0
"05/11/21, 11:00:00" 3984.43000000 4037.97000000 3967.34000000 4024.47000000 691.43202000 "05/11/21, 11:59:59" 2775026.38964740 1216 371.53491000 1492194.09032340 0
"05/11/21, 12:00:00" 4027.07000000 4076.18000000 3950.00000000 4014.66000000 1134.27325000 "05/11/21, 12:59:59" 4578038.34251090 1680 668.34744000 2701128.32820320 0
"05/11/21, 13:00:00" 4016.49000000 4056.27000000 4010.10000000 4038.90000000 587.76243000 "05/11/21, 13:59:59" 2370186.89946630 983 376.87877000 1519544.17081460 0
"05/11/21, 14:00:00" 4047.64000000 4101.29000000 4034.81000000 4061.12000000 666.88901000 "05/11/21, 14:59:59" 2712544.57523920 1482 277.82415000 1130839.69264760 0
"05/11/21, 15:00:00" 4068.03000000 4083.19000000 4039.58000000 4072.68000000 473.01529000 "05/11/21, 15:59:59" 1919181.76685020 920 223.41649000 906510.79211170 0
"05/11/21, 16:00:00" 4073.33000000 4144.44000000 4052.09000000 4144.44000000 933.01669000 "05/11/21, 16:59:59" 3820618.33155210 1832 395.25987000 1619804.77499680 0
"05/11/21, 17:00:00" 4141.86000000 4157.14000000 4089.20000000 4128.37000000 513.70819000 "05/11/21, 17:59:59" 2119359.68865720 1288 285.74250000 1177100.40400160 0
"05/11/21, 18:00:00" 4130.61000000 4145.44000000 4099.60000000 4136.25000000 318.58804000 "05/11/21, 18:59:59" 1314499.88749740 699 174.12830000 718569.74175370 0
