"11/11/21, 00:00:00" 4636.36000000 4662.76000000 4636.01000000 4658.56000000 228.92880000 "11/11/21, 00:59:59" 1064434.24370500 549 129.51080000 602289.84712700 0
"11/11/21, 01:00:00" 4656.45000000 4678.66000000 4642.43000000 4669.30000000 208.03510000 "11/11/21, 01:59:59" 970514.82147700 631 88.69800000 413704.81150300 0
"11/11/21, 02:00:00" 4669.77000000 4698.88000000 4669.77000000 4690.90000000 475.27700000 "11/11/21, 02:59:59" 2227713.88439600 787 330.21070000 1547842.39148300 0
"11/11/21, 03:00:00" 4695.16000000 4723.69000000 4656.43000000 4719.32000000 303.14270000 "11/11/21, 03:59:59" 1421971.74187300 745 134.62340000 631214.66502100 0
"11/11/21, 04:00:00" 4724.09000000 4744.80000000 4703.91000000 4730.91000000 503.13860000 "11/11/21, 04:59:59" 2378642.20318800 814 240.03640000 1134919.05189900 0
"11/11/21, 05:00:00" 4733.57000000 4772.36000000 4693.02000000 4708.61000000 793.15460000 "11/11/21, 05:59:59" 3744035.17270300 1315 577.02370000 2725535.70187900 0
"11/11/21, 06:00:00" 4708.80000000 4723.89000000 4697.07000000 4723.64000000 332.52690000 "11/11/21, 06:59:59" 1565659.53827100 898 159.45350000 751528.39988400 0
"11/11/21, 07:00:00" 4723.64000000 4754.18000000 4676.46000000 4718.10000000 643.71970000 "11/11/21, 07:59:59" 3028599.41934400 1315 298.27840000 1406691.96057600 0
"11/11/21, 08:00:00" 4718.44000000 4738.98000000 4696.52000000 4704.58000000 2111.58710000 "11/11/21, 08:59:59" 9951254.86390300 3000 307.80710000 1450844.86244100 0
"11/11/21, 09:00:00" 4703.59000000 4764.17000000 4681.77000000 4738.64000000 706.74520000 "11/11/21, 09:59:59" 3341987.43201000 1450 370.43630000 1750505.55796800 0
"11/11/21, 10:00:00" 4739.41000000 4759.03000000 4708.30000000 4720.97000000 645.13320000 "11/11/21, 10:59:59" 3051004.21581900 1035 439.31540000 2078422.69568300 0
"11/11/21, 11:00:00" 4724.30000000 4782.98000000 4716.63000000 4770.88000000 416.58010000 "11/11/21, 11:59:59" 1981679.71949800 788 194.80620000 927128.06873100 0
"11/11/21, 12:00:00" 4771.50000000 4776.59000000 4744.33000000 4752.22000000 288.21460000 "11/11/21, 12:59:59" 1372182.19284900 558 154.84360000 737465.36459600 0
"11/11/21, 13:00:00" 4755.09000000 4762.34000000 4722.29000000 4730.93000000 306.89050000 "11/11/21, 13:59:59" 1454857.51209600 665 212.21940000 1005734.23630600 0
"11/11/21, 14:00:00" 4731.05000000 4764.15000000 4730.11000000 4760.82000000 309.11160000 "11/11/21, 14:59:59" 1468685.45299000 754 136.47380000 648517.01107000 0
"11/11/21, 15:00:00" 4761.68000000 4778.93000000 4733.29000000 4735.98000000 225.25670000 "11/11/21, 15:59:59" 1071465.91563900 666 126.07970000 599564.86087200 0
"11/11/21, 16:00:00" 4735.01000000 4754.37000000 4730.29000000 4745.60000000 305.90790000 "11/11/21, 16:59:59" 1449651.03102100 691 133.27400000 631811.56524200 0
"11/11/21, 17:00:00" 4741.28000000 4765.88000000 4735.45000000 4753.77000000 104.04480000 "11/11/21, 17:59:59" 494196.85564500 436 36.24780000 172201.99368200 0
"11/11/21, 18:00:00" 4753.76000000 4753.76000000 4716.66000000 4723.97000000 72.31510000 "11/11/21, 18:59:59" 342212.63738100 435 29.31930000 138823.53932800 0
"11/11/21, 19:00:00" 4722.57000000 4740.42000000 4698.05000000 4729.90000000 124.52370000 "11/11/21, 19:59:59" 587598.87016100 459 80.16480000 378231.43291100 0
"11/11/21, 20:00:00" 4726.45000000 4791.02000000 4692.40000000 4790.35000000 276.09730000 "11/11/21, 20:59:59" 1309707.28222400 779 126.92160000 602996.71958200 0
"11/11/21, 21:00:00" 4787.02000000 4809.04000000 4772.26000000 4792.59000000 224.05900000 "11/11/21, 21:59:59" 1073428.36578600 636 124.71730000 597709.95066300 0
"11/11/21, 22:00:00" 4789.87000000 4793.71000000 4762.93000000 4771.76000000 165.08690000 "11/11/21, 22:59:59" 788261.99073700 425 96.51420000 460732.46752400 0
"11/11/21, 23:00:00" 4776.75000000 4785.71000000 4756.55000000 4780.45000000 166.25770000 "11/11/21, 23:59:59" 792483.71343700 429 100.13870000 477374.31720200 0
