"09/01/21, 00:00:00" 3442.02000000 3461.99000000 3430.89000000 3461.99000000 533.82040000 "09/01/21, 00:59:59" 1842162.27896100 847 258.92460000 893239.78843600 0
"09/01/21, 01:00:00" 3462.00000000 3533.19000000 3458.12000000 3526.90000000 1219.27604000 "09/01/21, 01:59:59" 4276291.76205030 2081 745.35058000 2613451.23212170 0
"09/01/21, 02:00:00" 3529.39000000 3533.93000000 3508.00000000 3522.28000000 738.34400000 "09/01/21, 02:59:59" 2600852.78298800 1051 392.19640000 1381355.23793700 0
"09/01/21, 03:00:00" 3521.19000000 3545.43000000 3500.73000000 3517.89000000 832.78939000 "09/01/21, 03:59:59" 2933765.66405570 1052 483.74189000 1703761.89801470 0
"09/01/21, 04:00:00" 3517.32000000 3538.28000000 3514.25000000 3533.44000000 618.82190000 "09/01/21, 04:59:59" 2181093.27816600 878 351.36910000 1238123.53991100 0
"09/01/21, 05:00:00" 3532.48000000 3559.20000000 3526.76000000 3540.08000000 907.00231000 "09/01/21, 05:59:59" 3215352.76881710 1363 344.80391000 1221654.40365890 0
"09/01/21, 06:00:00" 3540.74000000 3553.75000000 3523.30000000 3544.50000000 1095.93940000 "09/01/21, 06:59:59" 3880875.54202700 1445 631.56150000 2236543.86385800 0
"09/01/21, 07:00:00" 3548.02000000 3557.96000000 3527.79000000 3530.93000000 832.16770000 "09/01/21, 07:59:59" 2948795.86677700 1581 388.12960000 1374569.98172900 0
"09/01/21, 08:00:00" 3531.20000000 3546.29000000 3518.92000000 3538.33000000 372.05880000 "09/01/21, 08:59:59" 1316122.48000700 782 158.74240000 561542.77038500 0
"09/01/21, 09:00:00" 3538.90000000 3554.11000000 3517.83000000 3536.34000000 892.90530000 "09/01/21, 09:59:59" 3157524.65538200 1026 267.79250000 946582.10641700 0
"09/01/21, 10:00:00" 3537.45000000 3567.49000000 3530.30000000 3530.64000000 884.41064000 "09/01/21, 10:59:59" 3136391.32872610 1535 404.34794000 1434492.63078710 0
"09/01/21, 11:00:00" 3531.20000000 3593.98000000 3531.20000000 3583.38000000 1419.04593000 "09/01/21, 11:59:59" 5059874.63972490 2398 418.72403000 1494391.90447190 0
"09/01/21, 12:00:00" 3583.38000000 3791.85000000 3579.37000000 3743.33000000 3531.22499000 "09/01/21, 12:59:59" 13026280.65399850 5339 1732.68174000 6401406.55007290 0
"09/01/21, 13:00:00" 3743.80000000 3744.77000000 3683.49000000 3695.88000000 1926.72510000 "09/01/21, 13:59:59" 7153656.76508200 2767 887.27710000 3295346.72187600 0
"09/01/21, 14:00:00" 3698.48000000 3724.73000000 3691.54000000 3697.92000000 711.63330000 "09/01/21, 14:59:59" 2638780.35861700 968 429.42860000 1592133.47660500 0
"09/01/21, 15:00:00" 3698.87000000 3730.19000000 3695.60000000 3714.30000000 1192.67120000 "09/01/21, 15:59:59" 4425860.80405300 1769 651.30050000 2417334.43874700 0
"09/01/21, 16:00:00" 3714.36000000 3742.85000000 3711.55000000 3730.29000000 1612.52670000 "09/01/21, 16:59:59" 6015123.40734900 2585 556.20770000 2076130.56724000 0
"09/01/21, 17:00:00" 3730.46000000 3784.57000000 3728.45000000 3768.84000000 1832.71150000 "09/01/21, 17:59:59" 6879240.13711900 2561 566.98950000 2128650.38845000 0
"09/01/21, 18:00:00" 3769.59000000 3798.89000000 3753.57000000 3761.26000000 841.52629000 "09/01/21, 18:59:59" 3183077.93623030 1399 423.33809000 1600896.33973530 0
"09/01/21, 19:00:00" 3762.04000000 3857.44000000 3762.04000000 3828.49000000 1295.54498000 "09/01/21, 19:59:59" 4924789.74278940 1717 998.10713000 3793641.81202240 0
"09/01/21, 20:00:00" 3828.49000000 3837.32000000 3771.08000000 3780.11000000 598.59080000 "09/01/21, 20:59:59" 2275127.04344800 1167 242.04010000 920306.77033000 0
"09/01/21, 21:00:00" 3780.16000000 3804.62000000 3755.39000000 3773.14000000 799.52100000 "09/01/21, 21:59:59" 3019772.67357000 1213 460.50990000 1740792.27060200 0
"09/01/21, 22:00:00" 3776.16000000 3783.97000000 3737.32000000 3743.29000000 784.59960000 "09/01/21, 22:59:59" 2948855.95760700 1359 543.09850000 2040666.83749000 0
"09/01/21, 23:00:00" 3744.99000000 3771.26000000 3742.74000000 3770.32000000 304.14280000 "09/01/21, 23:59:59" 1143141.42069900 771 89.21030000 335188.67607600 0
"09/02/21, 00:00:00" 3767.61000000 3771.89000000 3744.81000000 3761.38000000 303.00370000 "09/02/21, 00:59:59" 1138775.17785200 445 131.80280000 495523.79636900 0
"09/02/21, 01:00:00" 3759.55000000 3771.58000000 3753.93000000 3758.97000000 1135.61580000 "09/02/21, 01:59:59" 4273358.03826400 1537 174.62220000 656988.36631300 0
"09/02/21, 02:00:00" 3758.67000000 3769.66000000 3730.91000000 3756.40000000 776.09470000 "09/02/21, 02:59:59" 2914703.60738200 1174 340.57120000 1278286.25832600 0
"09/02/21, 03:00:00" 3753.57000000 3773.00000000 3724.11000000 3733.22000000 688.64730000 "09/02/21, 03:59:59" 2579468.22322700 1086 225.37500000 845555.11974800 0
"09/02/21, 04:00:00" 3735.97000000 3757.13000000 3732.63000000 3746.49000000 361.46970000 "09/02/21, 04:59:59" 1354691.24808400 484 131.35080000 492242.05889400 0
"09/02/21, 05:00:00" 3746.49000000 3755.40000000 3728.10000000 3739.44000000 414.48780000 "09/02/21, 05:59:59" 1549462.18872600 531 183.84440000 687402.58635300 0
"09/02/21, 06:00:00" 3741.74000000 3766.66000000 3726.51000000 3760.27000000 452.60280000 "09/02/21, 06:59:59" 1698570.97235200 606 176.99940000 664404.91403300 0
"09/02/21, 07:00:00" 3760.24000000 3769.74000000 3745.30000000 3762.08000000 206.40730000 "09/02/21, 07:59:59" 775147.51629800 374 112.18070000 421220.62927900 0
"09/02/21, 08:00:00" 3762.07000000 3797.36000000 3761.54000000 3779.00000000 593.03000000 "09/02/21, 08:59:59" 2241169.52092600 1090 220.00930000 831165.13708600 0
"09/02/21, 09:00:00" 3776.37000000 3807.02000000 3767.56000000 3796.50000000 532.03320000 "09/02/21, 09:59:59" 2015688.12563900 862 205.74660000 779380.26996100 0
"09/02/21, 10:00:00" 3795.10000000 3834.80000000 3754.00000000 3767.01000000 1522.92090000 "09/02/21, 10:59:59" 5781286.69600800 2277 716.14550000 2716850.61389100 0
"09/02/21, 11:00:00" 3765.06000000 3778.65000000 3742.56000000 3757.96000000 604.19430000 "09/02/21, 11:59:59" 2272381.08846400 922 229.80920000 864975.79078200 0
"09/02/21, 12:00:00" 3757.91000000 3792.21000000 3757.17000000 3782.55000000 392.57660000 "09/02/21, 12:59:59" 1482979.13369500 656 194.25890000 733682.72726600 0
"09/02/21, 13:00:00" 3784.43000000 3805.50000000 3766.20000000 3799.56000000 371.93880000 "09/02/21, 13:59:59" 1406804.58568500 634 175.12840000 662207.62795200 0
"09/02/21, 14:00:00" 3800.37000000 3809.78000000 3761.30000000 3777.92000000 535.38560000 "09/02/21, 14:59:59" 2020346.55918600 781 185.01830000 698680.72807000 0
"09/02/21, 15:00:00" 3779.29000000 3791.64000000 3771.07000000 3783.05000000 298.61430000 "09/02/21, 15:59:59" 1128813.30702300 492 136.95370000 517769.93067700 0
"09/02/21, 16:00:00" 3784.52000000 3812.53000000 3777.54000000 3807.87000000 238.19760000 "09/02/21, 16:59:59" 904264.95652600 521 119.19720000 452799.79606200 0
"09/02/21, 17:00:00" 3809.68000000 3832.01000000 3802.18000000 3831.69000000 1118.60810000 "09/02/21, 17:59:59" 4273823.87344300 1295 763.55090000 2917091.74893600 0
"09/02/21, 18:00:00" 3831.55000000 3831.55000000 3794.01000000 3806.05000000 322.04300000 "09/02/21, 18:59:59" 1225929.42630800 544 145.84860000 555425.43525200 0
"09/02/21, 19:00:00" 3803.70000000 3803.70000000 3781.84000000 3787.69000000 210.82720000 "09/02/21, 19:59:59" 799148.74803300 276 96.45020000 365586.09562100 0
"09/02/21, 20:00:00" 3788.56000000 3805.22000000 3725.39000000 3730.52000000 500.36770000 "09/02/21, 20:59:59" 1880913.53905000 1462 210.84360000 792683.07766900 0
"09/02/21, 21:00:00" 3730.00000000 3746.17000000 3710.89000000 3743.43000000 927.28250000 "09/02/21, 21:59:59" 3459627.67117400 1481 505.78830000 1887086.17419600 0
"09/02/21, 22:00:00" 3742.22000000 3777.57000000 3739.38000000 3774.00000000 333.93580000 "09/02/21, 22:59:59" 1256448.67467700 447 184.89320000 695167.92349800 0
"09/02/21, 23:00:00" 3774.10000000 3817.04000000 3769.69000000 3806.98000000 644.04730000 "09/02/21, 23:59:59" 2443238.68516800 978 452.51530000 1716102.92182600 0
"09/03/21, 00:00:00" 3808.90000000 3825.81000000 3797.97000000 3810.13000000 382.99740000 "09/03/21, 00:59:59" 1460866.69824800 645 234.01260000 892692.54758700 0
"09/03/21, 01:00:00" 3811.15000000 3817.88000000 3786.84000000 3800.29000000 639.98590000 "09/03/21, 01:59:59" 2433112.94139200 794 261.66450000 994768.57825200 0
"09/03/21, 02:00:00" 3798.95000000 3813.25000000 3780.63000000 3793.21000000 218.38360000 "09/03/21, 02:59:59" 829198.32292000 395 121.46160000 461407.24535400 0
"09/03/21, 03:00:00" 3793.21000000 3813.25000000 3782.25000000 3794.84000000 322.16960000 "09/03/21, 03:59:59" 1222817.93911900 463 207.82460000 789021.70987800 0
"09/03/21, 04:00:00" 3796.23000000 3900.00000000 3790.16000000 3891.74000000 1338.75205000 "09/03/21, 04:59:59" 5153606.24342430 2063 628.72552000 2420601.65346010 0
"09/03/21, 05:00:00" 3891.45000000 3974.00000000 3878.65000000 3967.01000000 2604.51568000 "09/03/21, 05:59:59" 10254756.87618960 3837 1148.30327000 4520862.18296090 0
"09/03/21, 06:00:00" 3969.11000000 3995.00000000 3929.07000000 3951.02000000 2315.92563000 "09/03/21, 06:59:59" 9178152.71366380 2890 1570.73243000 6224347.55175080 0
"09/03/21, 07:00:00" 3951.18000000 3964.89000000 3923.94000000 3955.17000000 1029.73350000 "09/03/21, 07:59:59" 4066376.41782300 1340 481.97620000 1902865.03055600 0
"09/03/21, 08:00:00" 3955.92000000 3980.00000000 3926.75000000 3952.53000000 898.14990000 "09/03/21, 08:59:59" 3554906.79884800 1888 331.44730000 1311946.85562700 0
"09/03/21, 09:00:00" 3955.82000000 3968.85000000 3942.52000000 3965.86000000 937.68400000 "09/03/21, 09:59:59" 3709990.60749200 1279 184.12170000 728495.90309300 0
"09/03/21, 10:00:00" 3964.99000000 4029.53000000 3946.40000000 3981.57000000 2420.44741000 "09/03/21, 10:59:59" 9646712.31712180 3218 1004.96011000 4006394.29563780 0
"09/03/21, 11:00:00" 3979.56000000 3985.40000000 3955.02000000 3969.00000000 435.79220000 "09/03/21, 11:59:59" 1729837.82092200 702 221.42310000 879109.24165300 0
"09/03/21, 12:00:00" 3970.66000000 3985.10000000 3957.79000000 3972.03000000 460.18230000 "09/03/21, 12:59:59" 1828034.93094300 562 264.18150000 1049450.18209600 0
"09/03/21, 13:00:00" 3969.58000000 3984.49000000 3954.19000000 3969.32000000 221.67810000 "09/03/21, 13:59:59" 880496.54518700 453 116.09620000 461167.41276700 0
"09/03/21, 14:00:00" 3962.25000000 3965.07000000 3930.52000000 3954.68000000 752.80470000 "09/03/21, 14:59:59" 2976233.14187800 905 359.86810000 1423007.75313400 0
"09/03/21, 15:00:00" 3952.90000000 3954.26000000 3927.00000000 3946.23000000 319.89580000 "09/03/21, 15:59:59" 1260280.06514100 543 105.32400000 414946.40056300 0
"09/03/21, 16:00:00" 3943.40000000 3944.30000000 3907.88000000 3919.54000000 341.77330000 "09/03/21, 16:59:59" 1340790.52156500 664 167.51940000 657102.13713000 0
"09/03/21, 17:00:00" 3916.97000000 3942.72000000 3916.97000000 3936.30000000 240.54030000 "09/03/21, 17:59:59" 945601.80085000 379 120.52490000 473877.65893000 0
"09/03/21, 18:00:00" 3936.69000000 3937.69000000 3868.74000000 3886.60000000 432.29270000 "09/03/21, 18:59:59" 1682177.39990800 930 185.79830000 722908.38851700 0
"09/03/21, 19:00:00" 3882.98000000 3943.40000000 3879.62000000 3938.45000000 308.18910000 "09/03/21, 19:59:59" 1206852.77316700 545 157.04930000 615175.97531600 0
"09/03/21, 20:00:00" 3938.70000000 3971.15000000 3914.97000000 3944.26000000 474.28080000 "09/03/21, 20:59:59" 1872018.84118900 858 182.46150000 720066.52271200 0
"09/03/21, 21:00:00" 3941.76000000 3954.33000000 3920.31000000 3921.56000000 262.22390000 "09/03/21, 21:59:59" 1032557.78577400 399 162.98970000 641932.75029300 0
"09/03/21, 22:00:00" 3919.75000000 3947.00000000 3905.84000000 3943.35000000 160.89310000 "09/03/21, 22:59:59" 632493.38561900 309 95.58610000 375745.80161100 0
"09/03/21, 23:00:00" 3941.17000000 3942.43000000 3917.00000000 3919.77000000 241.33180000 "09/03/21, 23:59:59" 947093.78631600 345 140.49600000 551348.53991900 0
"09/04/21, 00:00:00" 3917.14000000 3926.74000000 3907.39000000 3911.14000000 126.44720000 "09/04/21, 00:59:59" 495415.72694400 239 25.12220000 98383.21285200 0
"09/04/21, 01:00:00" 3907.80000000 3928.26000000 3894.01000000 3927.18000000 128.37690000 "09/04/21, 01:59:59" 502257.37076200 265 64.01910000 250433.60677500 0
"09/04/21, 02:00:00" 3928.38000000 3937.22000000 3918.18000000 3923.42000000 105.25820000 "09/04/21, 02:59:59" 413638.94058200 273 59.08140000 232193.11993100 0
"09/04/21, 03:00:00" 3918.93000000 3933.85000000 3910.38000000 3916.29000000 101.69270000 "09/04/21, 03:59:59" 398419.94420900 303 64.09790000 251126.46478600 0
"09/04/21, 04:00:00" 3916.87000000 3954.06000000 3910.97000000 3935.98000000 453.29520000 "09/04/21, 04:59:59" 1783767.49095400 565 251.44750000 990188.34445600 0
"09/04/21, 05:00:00" 3934.16000000 3946.36000000 3923.69000000 3929.88000000 229.40690000 "09/04/21, 05:59:59" 902110.62227900 433 95.96460000 377347.66494100 0
"09/04/21, 06:00:00" 3929.83000000 3948.03000000 3905.48000000 3906.10000000 240.90250000 "09/04/21, 06:59:59" 947109.56533800 426 90.83250000 357379.43397300 0
"09/04/21, 07:00:00" 3906.10000000 3912.31000000 3887.14000000 3888.00000000 467.75690000 "09/04/21, 07:59:59" 1823750.52285100 1236 208.33780000 812051.12234600 0
"09/04/21, 08:00:00" 3887.48000000 3928.66000000 3880.14000000 3916.67000000 494.37040000 "09/04/21, 08:59:59" 1931858.41975700 682 211.08880000 824956.08990900 0
"09/04/21, 09:00:00" 3917.83000000 3922.46000000 3900.00000000 3912.77000000 296.53970000 "09/04/21, 09:59:59" 1159712.63508300 479 109.46340000 427995.05972400 0
"09/04/21, 10:00:00" 3911.16000000 3911.16000000 3890.34000000 3904.03000000 284.74970000 "09/04/21, 10:59:59" 1110350.61042200 472 105.09740000 409847.96846100 0
"09/04/21, 11:00:00" 3905.76000000 3921.78000000 3902.32000000 3919.90000000 238.33830000 "09/04/21, 11:59:59" 932663.74622400 396 104.70030000 409634.38091600 0
"09/04/21, 12:00:00" 3919.67000000 3925.61000000 3896.95000000 3903.88000000 587.68700000 "09/04/21, 12:59:59" 2299888.11707200 786 114.93790000 449728.44200400 0
"09/04/21, 13:00:00" 3901.01000000 3905.80000000 3837.91000000 3881.59000000 643.86880000 "09/04/21, 13:59:59" 2491354.62674700 1153 289.87170000 1121265.84443300 0
"09/04/21, 14:00:00" 3881.89000000 3891.13000000 3855.30000000 3859.56000000 290.69410000 "09/04/21, 14:59:59" 1126735.86465400 365 99.04250000 384012.59553700 0
"09/04/21, 15:00:00" 3861.27000000 3883.46000000 3832.85000000 3859.15000000 467.79260000 "09/04/21, 15:59:59" 1805754.01724200 680 225.84560000 871603.75921500 0
"09/04/21, 16:00:00" 3859.78000000 3884.38000000 3856.93000000 3880.89000000 300.02850000 "09/04/21, 16:59:59" 1162410.61568900 404 164.60410000 637775.90150600 0
"09/04/21, 17:00:00" 3883.21000000 3903.95000000 3881.51000000 3893.14000000 272.84200000 "09/04/21, 17:59:59" 1062613.22341600 366 130.84560000 509812.47358300 0
"09/04/21, 18:00:00" 3899.16000000 3902.71000000 3879.88000000 3886.33000000 143.27470000 "09/04/21, 18:59:59" 557681.61094000 251 48.87320000 190409.81648700 0
"09/04/21, 19:00:00" 3888.11000000 3899.57000000 3866.58000000 3887.46000000 114.39680000 "09/04/21, 19:59:59" 444016.39045000 273 34.35890000 133332.54252700 0
"09/04/21, 20:00:00" 3887.70000000 3914.68000000 3869.37000000 3903.73000000 223.16560000 "09/04/21, 20:59:59" 869385.74495100 435 94.54920000 368502.47458000 0
"09/04/21, 21:00:00" 3906.71000000 3907.50000000 3882.24000000 3897.35000000 82.94540000 "09/04/21, 21:59:59" 323007.33367000 157 33.49820000 130512.96769400 0
"09/04/21, 22:00:00" 3895.24000000 3907.75000000 3890.68000000 3893.58000000 96.19150000 "09/04/21, 22:59:59" 374836.06003000 198 56.96230000 221928.78212000 0
"09/04/21, 23:00:00" 3891.60000000 3897.08000000 3846.55000000 3848.20000000 281.08530000 "09/04/21, 23:59:59" 1085087.16111500 491 137.25960000 529558.43323600 0
"09/05/21, 00:00:00" 3846.50000000 3874.63000000 3844.68000000 3872.74000000 195.49180000 "09/05/21, 00:59:59" 755534.17007500 339 93.68020000 361959.01825600 0
"09/05/21, 01:00:00" 3873.96000000 3876.35000000 3861.14000000 3864.89000000 81.37460000 "09/05/21, 01:59:59" 314528.36058800 172 44.93020000 173693.48610200 0
"09/05/21, 02:00:00" 3863.98000000 3877.66000000 3835.00000000 3876.30000000 222.64280000 "09/05/21, 02:59:59" 858673.79911300 456 75.93310000 292743.50953400 0
"09/05/21, 03:00:00" 3877.37000000 3890.00000000 3864.39000000 3873.06000000 202.01010000 "09/05/21, 03:59:59" 784124.86799500 309 90.05320000 349538.62962100 0
"09/05/21, 04:00:00" 3873.02000000 3922.96000000 3863.54000000 3920.00000000 344.45650000 "09/05/21, 04:59:59" 1341594.31349300 568 134.95130000 525383.85821700 0
"09/05/21, 05:00:00" 3920.28000000 3933.00000000 3911.16000000 3930.81000000 434.05320000 "09/05/21, 05:59:59" 1702844.59077900 610 204.64140000 802329.19019400 0
"09/05/21, 06:00:00" 3931.89000000 3958.55000000 3912.43000000 3922.37000000 568.91970000 "09/05/21, 06:59:59" 2241233.28282900 840 268.60480000 1058086.06304700 0
"09/05/21, 07:00:00" 3928.10000000 3942.23000000 3910.00000000 3925.26000000 261.25870000 "09/05/21, 07:59:59" 1025389.85941600 379 140.00550000 549720.61217100 0
"09/05/21, 08:00:00" 3927.24000000 3955.16000000 3918.66000000 3933.43000000 253.35330000 "09/05/21, 08:59:59" 998409.61333000 486 169.14370000 667100.77665000 0
"09/05/21, 09:00:00" 3933.45000000 3945.23000000 3922.03000000 3931.74000000 114.51550000 "09/05/21, 09:59:59" 450801.71655400 245 44.90080000 176630.41568200 0
"09/05/21, 10:00:00" 3935.31000000 3943.46000000 3913.36000000 3920.29000000 260.35540000 "09/05/21, 10:59:59" 1024257.32804600 393 123.97030000 487746.39744200 0
"09/05/21, 11:00:00" 3920.83000000 3925.29000000 3900.00000000 3908.32000000 293.08220000 "09/05/21, 11:59:59" 1146262.45315500 407 140.83480000 551059.00759200 0
"09/05/21, 12:00:00" 3908.32000000 3926.52000000 3900.49000000 3917.50000000 150.63230000 "09/05/21, 12:59:59" 589606.09611200 297 106.49900000 416862.94474200 0
"09/05/21, 13:00:00" 3917.50000000 3932.47000000 3915.01000000 3929.73000000 320.59230000 "09/05/21, 13:59:59" 1258007.75646700 438 195.20870000 765920.75736400 0
"09/05/21, 14:00:00" 3928.66000000 3932.48000000 3919.62000000 3925.87000000 124.42610000 "09/05/21, 14:59:59" 488610.24590000 295 87.94020000 345363.76147900 0
"09/05/21, 15:00:00" 3925.74000000 3952.76000000 3920.80000000 3929.03000000 347.52830000 "09/05/21, 15:59:59" 1369659.86361400 759 165.06570000 650613.63018400 0
"09/05/21, 16:00:00" 3932.04000000 3973.74000000 3921.87000000 3968.75000000 605.04250000 "09/05/21, 16:59:59" 2385518.49665100 1203 327.11730000 1289942.70948500 0
"09/05/21, 17:00:00" 3972.03000000 3983.00000000 3939.32000000 3954.44000000 595.96930000 "09/05/21, 17:59:59" 2363898.69017900 1210 350.91780000 1391965.20830000 0
